file,time,nap_period,video_period,exclude_period,pos,code
102/1,2021-07-12T20:40:14Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:16Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:18Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:20Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:22Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:25Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:26Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:28Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:31Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:33Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:34Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:36Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:39Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:40Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:42Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:44Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:46Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:48Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:50Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:52Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:54Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:56Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:40:58Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:00Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:02Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:04Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:06Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:08Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:10Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:12Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:15Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:16Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:18Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:20Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:23Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:25Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:26Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:28Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:30Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:32Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:34Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:36Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:38Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:40Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:43Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:45Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:46Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:48Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:51Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:53Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:54Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:56Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:41:58Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:00Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:02Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:04Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:06Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:08Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:10Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:12Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:14Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:16Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:19Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:21Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:22Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:24Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:26Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:28Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:30Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:32Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:34Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:36Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:38Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:40Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:42Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:44Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:46Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:48Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:50Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:52Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:54Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:56Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:42:58Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:01Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:03Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:04Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:06Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:08Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:11Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:13Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:14Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:16Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:18Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:20Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:22Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:24Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:26Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:28Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:31Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:33Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:34Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:36Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:39Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:41Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:42Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:44Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:46Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:48Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:50Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:52Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:54Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:56Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:43:58Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:00Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:02Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:04Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:06Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:09Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:10Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:12Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:14Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:16Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:18Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:20Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:22Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:24Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:26Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:28Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:30Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:32Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:34Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:36Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:38Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:40Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:42Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:44Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:46Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:48Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:51Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:53Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:54Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:56Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:44:59Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:00Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:02Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:04Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:06Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:08Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:10Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:12Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:14Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:16Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:19Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:21Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:22Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:24Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:27Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:29Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:30Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:32Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:34Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:36Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:38Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:40Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:42Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:44Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:47Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:49Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:50Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:52Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:54Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:56Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:45:58Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:46:00Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:46:02Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:46:04Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:46:06Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:46:08Z,0,0,0,Sitting,Sitting
102/1,2021-07-12T20:46:10Z,0,0,0,Sitting,Sitting
