Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.8582714971628109,0.7241379310344828,0.9924050632911392,0.875,0.98,0.7924528301886793,0.7787476280834917,0.06839622641509434,0.049528301886792456,0.05660377358490566,9908,split
Prone,0.9932249322493225,1,0.986449864498645,0.9166666666666666,1,0.9565217391304348,0.9497153700189752,0.12971698113207547,0.12971698113207547,0.14150943396226415,9908,split
Sitting,0.9721178206520227,0.9572649572649573,0.9869706840390879,0.9655172413793104,0.9837662337662337,0.9613733905579399,0.9467396158999556,0.2759433962264151,0.2641509433962264,0.27358490566037735,9908,split
Supine,1,1,1,1,1,1,1,0.049528301886792456,0.049528301886792456,0.049528301886792456,9908,split
Upright,0.9693827490857194,0.9702970297029703,0.9684684684684685,0.9655172413793104,0.9728506787330317,0.9679012345679012,0.9385562045748428,0.47641509433962265,0.46226415094339623,0.47877358490566035,9908,split
Held,0.5027039686595128,0.017543859649122806,0.9878640776699029,0.16666666666666666,0.8790496760259179,0.031746031746031744,0.008800194020025628,0.12153518123667377,0.0021321961620469083,0.01279317697228145,9909,split
Prone,0.49223946784922396,0,0.9844789356984479,0,0.961038961038961,NA,-0.02196461256863848,0.03837953091684435,0,0.014925373134328358,9909,split
Sitting,0.7363618029646062,0.5106382978723404,0.9620853080568721,0.6,0.9463869463869464,0.5517241379310344,0.5062224981777933,0.10021321961620469,0.0511727078891258,0.08528784648187633,9909,split
Supine,0.6883150934792521,0.9735294117647059,0.40310077519379844,0.8112745098039216,0.8524590163934426,0.8850267379679145,0.45028076105326276,0.7249466950959488,0.7057569296375267,0.8699360341151386,9909,split
Upright,0.7813852813852813,0.5714285714285714,0.9913419913419913,0.5,0.9934924078091106,0.5333333333333333,0.5257836198179955,0.014925373134328358,0.008528784648187633,0.017057569296375266,9909,split
Held,0.8571428571428572,0.7142857142857143,1,1,0.9835051546391752,0.8333333333333333,0.8252595155709341,0.055445544554455446,0.039603960396039604,0.039603960396039604,9910,split
Prone,0.5346959557753855,0.07142857142857142,0.9979633401221996,0.5,0.974155069582505,0.125,0.11889332003988085,0.027722772277227723,0.0019801980198019802,0.0039603960396039604,9910,split
Sitting,0.9282224146462148,0.9069767441860465,0.949468085106383,0.8602941176470589,0.967479674796748,0.8830188679245283,0.8414474816937925,0.25544554455445545,0.2316831683168317,0.2693069306930693,9910,split
Supine,1,1,1,1,1,1,1,0.5504950495049505,0.5504950495049505,0.5504950495049505,9910,split
Upright,0.9252704422526249,0.8928571428571429,0.9576837416481069,0.7246376811594203,0.9862385321100917,0.8,0.7720995721789986,0.11089108910891089,0.09900990099009901,0.13663366336633664,9910,split
