Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.7375818419903972,0.4827586206896552,0.9924050632911392,0.8235294117647058,0.9631449631449631,0.608695652173913,0.5878604600928831,0.06839622641509434,0.0330188679245283,0.04009433962264151,9908,split
Prone,0.9618871643261887,0.9454545454545454,0.978319783197832,0.8666666666666667,0.9917582417582418,0.9043478260869566,0.8893738140417454,0.12971698113207547,0.12264150943396226,0.14150943396226415,9908,split
Sitting,0.952170160639216,0.9401709401709402,0.9641693811074918,0.9090909090909091,0.976897689768977,0.9243697478991597,0.8948731370010192,0.2759433962264151,0.25943396226415094,0.28537735849056606,9908,split
Supine,0.9498995628027886,0.9047619047619048,0.9950372208436724,0.9047619047619048,0.9950372208436724,0.9047619047619048,0.899799125605577,0.049528301886792456,0.04481132075471698,0.049528301886792456,9908,split
Upright,0.9365132459191865,0.9405940594059405,0.9324324324324325,0.926829268292683,0.9452054794520548,0.9336609336609337,0.8724428399518653,0.47641509433962265,0.4481132075471698,0.4834905660377358,9908,split
Held,0.5589763243059104,0.12280701754385964,0.9951456310679612,0.7777777777777778,0.8913043478260869,0.2121212121212121,0.1851109329056402,0.12153518123667377,0.014925373134328358,0.019189765458422176,9909,split
Prone,0.49002217294900224,0,0.9800443458980045,0,0.9608695652173913,NA,-0.026258205689278523,0.03837953091684435,0,0.019189765458422176,9909,split
Sitting,0.611097105979631,0.23404255319148937,0.9881516587677726,0.6875,0.9205298013245033,0.3492063492063492,0.31430303462539666,0.10021321961620469,0.023454157782515993,0.03411513859275053,9909,split
Supine,0.5860693114455084,0.9705882352941176,0.20155038759689922,0.7621247113163973,0.7222222222222222,0.8538163001293662,0.22174251435452344,0.7249466950959488,0.7036247334754797,0.9232409381663113,9909,split
Upright,0.6428571428571428,0.2857142857142857,1,1,0.9892933618843683,0.4444444444444445,0.4407345575959929,0.014925373134328358,0.0042643923240938165,0.0042643923240938165,9909,split
Held,0.8949910152740341,0.8214285714285714,0.9685534591194969,0.6052631578947368,0.9892933618843683,0.6969696969696969,0.6763028011024937,0.055445544554455446,0.04554455445544554,0.07524752475247524,9910,split
Prone,0.5693919115507711,0.14285714285714285,0.9959266802443992,0.5,0.9760479041916168,0.22222222222222224,0.2125194920917807,0.027722772277227723,0.0039603960396039604,0.007920792079207921,9910,split
Sitting,0.9453962559788883,0.9147286821705426,0.976063829787234,0.9291338582677166,0.9708994708994709,0.9218749999999999,0.8953519696624322,0.25544554455445545,0.23366336633663368,0.2514851485148515,9910,split
Supine,1,1,1,1,1,1,1,0.5504950495049505,0.5504950495049505,0.5504950495049505,9910,split
Upright,0.8270561565383392,0.6964285714285714,0.9576837416481069,0.6724137931034483,0.9619686800894854,0.6842105263157895,0.6440458941927396,0.11089108910891089,0.07722772277227723,0.11485148514851486,9910,split
Held,0.9255177721802408,0.8611111111111112,0.9899244332493703,0.8857142857142857,0.9874371859296482,0.8732394366197184,0.8619211281578852,0.08314087759815242,0.07159353348729793,0.08083140877598152,9911,split
Prone,0.9000495417389149,0.9090909090909091,0.8910081743869209,0.6,0.9819819819819819,0.7228915662650602,0.6605542111183065,0.15242494226327943,0.13856812933025403,0.23094688221709006,9911,split
Sitting,0.8272300469483569,0.8544600938967136,0.8,0.8053097345132744,0.8502415458937198,0.8291571753986333,0.6538252443743271,0.49191685912240185,0.42032332563510394,0.5219399538106235,9911,split
Supine,0.6078174725387537,0.2549019607843137,0.9607329842931938,0.4642857142857143,0.9061728395061729,0.3291139240506329,0.267997831010175,0.11778290993071594,0.03002309468822171,0.06466512702078522,9911,split
Upright,0.6782684935975858,0.40298507462686567,0.953551912568306,0.6136363636363636,0.897172236503856,0.4864864864864865,0.4146844688974788,0.15473441108545036,0.06235565819861432,0.10161662817551963,9911,split
Held,0.8842583732057416,0.7727272727272727,0.9957894736842106,0.8947368421052632,0.9895397489539749,0.8292682926829269,0.821964075533494,0.04426559356136821,0.03420523138832998,0.03822937625754527,10201,split
Prone,0.9770525017618041,0.9583333333333334,0.9957716701902748,0.92,0.9978813559322034,0.9387755102040817,0.9356022977583893,0.0482897384305835,0.04627766599597585,0.05030181086519115,10201,split
Sitting,0.8978494623655914,1,0.7956989247311828,0.9550827423167849,1,0.9770253929866989,0.8636094460894055,0.8128772635814889,0.8128772635814889,0.8511066398390342,10201,split
Supine,0.6666666666666666,0.3333333333333333,1,1,0.9631147540983607,0.5,0.48603929679420926,0.05432595573440644,0.018108651911468814,0.018108651911468814,10201,split
Upright,0.8947589098532496,0.8,0.989517819706499,0.7619047619047619,0.9915966386554622,0.7804878048780488,0.771049802938015,0.04024144869215292,0.03219315895372234,0.04225352112676056,10201,split
Held,0.625,0.25,1,1,0.9393258426966292,0.4,0.3803457688808012,0.07929515418502203,0.019823788546255508,0.019823788546255508,10203,split
Prone,0.905527963722738,0.8181818181818182,0.9928741092636579,0.9,0.9858490566037735,0.8571428571428572,0.8465179175118328,0.07268722466960352,0.05947136563876652,0.06607929515418502,10203,split
Sitting,0.9073617712061648,0.9838056680161943,0.8309178743961353,0.8741007194244604,0.9772727272727273,0.9257142857142857,0.8247243065592272,0.5440528634361234,0.5352422907488987,0.6123348017621145,10203,split
Supine,0.716241360978203,0.4444444444444444,0.9880382775119617,0.7619047619047619,0.953810623556582,0.5614035087719298,0.5341869818599694,0.07929515418502203,0.03524229074889868,0.046255506607929514,10203,split
Upright,0.9674688057040999,0.9803921568627451,0.9545454545454546,0.8620689655172413,0.9940828402366864,0.9174311926605505,0.8914856323365377,0.22466960352422907,0.22026431718061673,0.2555066079295154,10203,split
Held,0.9447443394811816,0.9259259259259259,0.9635627530364372,0.7352941176470589,0.9916666666666667,0.819672131147541,0.7974190079311734,0.09854014598540146,0.09124087591240876,0.12408759124087591,10204,split
Prone,0.7734980620155039,0.5625,0.9844961240310077,0.6923076923076923,0.9731800766283525,0.6206896551724138,0.5997343957503319,0.058394160583941604,0.032846715328467155,0.04744525547445255,10204,split
Sitting,0.5571271929824562,0.20175438596491227,0.9125,0.6216216216216216,0.6160337552742616,0.304635761589404,0.12654077357459464,0.41605839416058393,0.08394160583941605,0.13503649635036497,10204,split
Supine,0.7659437751004017,0.56,0.9718875502008032,0.6666666666666666,0.9565217391304348,0.6086956521739131,0.573134845075299,0.09124087591240876,0.051094890510948905,0.07664233576642336,10204,split
Upright,0.7475513616817965,0.9456521739130435,0.5494505494505495,0.514792899408284,0.9523809523809523,0.6666666666666666,0.41021327131476076,0.3357664233576642,0.3175182481751825,0.6167883211678832,10204,split
Held,0.9708994708994709,1,0.9417989417989417,0.9251700680272109,1,0.9611307420494699,0.9312380989017329,0.41846153846153844,0.41846153846153844,0.4523076923076923,10301,split
Prone,0.9936908517350158,1,0.9873817034700315,0.6666666666666666,1,0.8,0.793912492073557,0.024615384615384615,0.024615384615384615,0.036923076923076927,10301,split
Sitting,0.9891891891891892,1,0.9783783783783784,0.9722222222222222,1,0.9859154929577464,0.974990380915737,0.4307692307692308,0.4307692307692308,0.4430769230769231,10301,split
Supine,0.8064516129032258,0.6129032258064516,1,1,0.9607843137254902,0.76,0.7412420382165605,0.09538461538461539,0.05846153846153846,0.05846153846153846,10301,split
Upright,0.65,0.3,1,1,0.9782608695652174,0.4615384615384615,0.4537815126050448,0.03076923076923077,0.009230769230769232,0.009230769230769232,10301,split
Held,1,1,1,1,1,1,1,0.07848101265822785,0.07848101265822785,0.07848101265822785,10401,split
Prone,1,1,1,1,1,1,1,0.10379746835443038,0.10379746835443038,0.10379746835443038,10401,split
Sitting,0.9919438940452602,0.9955156950672646,0.9883720930232558,0.9910714285714286,0.9941520467836257,0.9932885906040269,0.9845423357378588,0.5645569620253165,0.5620253164556962,0.5670886075949367,10401,split
Supine,0.9871300580157156,0.9775280898876404,0.9967320261437909,0.9886363636363636,0.993485342019544,0.983050847457627,0.9781570846620338,0.22531645569620254,0.22025316455696203,0.22278481012658227,10401,split
Upright,1,1,1,1,1,1,1,0.027848101265822784,0.027848101265822784,0.027848101265822784,10401,split
Held,0.9636746512240064,0.9655172413793104,0.9618320610687023,0.8484848484848485,0.9921259842519685,0.9032258064516129,0.8800899325505869,0.18125,0.175,0.20625,10501,split
Prone,1,1,1,1,1,1,1,0.3125,0.3125,0.3125,10501,split
Sitting,0.9557210031347962,0.9545454545454546,0.9568965517241379,0.8936170212765957,0.9823008849557522,0.9230769230769231,0.8925556408288566,0.275,0.2625,0.29375,10501,split
Supine,0.8791172595520422,0.7727272727272727,0.9855072463768116,0.8947368421052632,0.9645390070921985,0.8292682926829269,0.8043326345213135,0.1375,0.10625,0.11875,10501,split
Upright,0.8298850574712644,0.6666666666666666,0.993103448275862,0.9090909090909091,0.9664429530201343,0.7692307692307692,0.7493472584856398,0.09375,0.0625,0.06875,10501,split
Held,0.9582162024022489,0.9230769230769231,0.9933554817275747,0.8571428571428571,0.9966666666666667,0.888888888888889,0.883904362829677,0.041401273885350316,0.03821656050955414,0.044585987261146494,10601,split
Prone,1,1,1,1,1,1,1,0.09076433121019108,0.09076433121019108,0.09076433121019108,10601,split
Sitting,0.7109463532248342,0.5466666666666666,0.8752260397830018,0.37272727272727274,0.9343629343629344,0.4432432432432432,0.351083467094703,0.11942675159235669,0.06528662420382166,0.1751592356687898,10601,split
Supine,0.8319511813487717,0.8506493506493507,0.8132530120481928,0.9268867924528302,0.6617647058823529,0.8871331828442439,0.6185431750813937,0.7356687898089171,0.6257961783439491,0.6751592356687898,10601,split
Upright,0.9358870967741936,0.875,0.9967741935483871,0.7777777777777778,0.9983844911147012,0.823529411764706,0.8211165970376008,0.012738853503184714,0.011146496815286623,0.014331210191082803,10601,split
Held,0.7636963696369636,0.6,0.9273927392739274,0.40540540540540543,0.9656357388316151,0.48387096774193555,0.4322189765227739,0.07621951219512195,0.04573170731707317,0.11280487804878049,10701,split
Prone,0.954356846473029,1,0.9087136929460581,0.7981651376146789,1,0.8877551020408164,0.8407837253431005,0.2652439024390244,0.2652439024390244,0.3323170731707317,10701,split
Sitting,0.7862691784812585,0.631578947368421,0.940959409594096,0.6923076923076923,0.9239130434782609,0.6605504587155963,0.5930793991416309,0.17378048780487804,0.10975609756097561,0.15853658536585366,10701,split
Supine,0.9421768707482994,0.8843537414965986,1,1,0.9141414141414141,0.9386281588447652,0.894064898548522,0.4481707317073171,0.39634146341463417,0.39634146341463417,10701,split
Upright,0.5,0,1,NA,0.9634146341463414,NA,0,0.036585365853658534,0,0,10701,split
Held,0.9423611111111111,0.8888888888888888,0.9958333333333333,0.9411764705882353,0.991701244813278,0.9142857142857143,0.9080541696364931,0.06976744186046512,0.06201550387596899,0.06589147286821706,10702,split
Prone,1,1,1,1,1,1,1,0.5038759689922481,0.5038759689922481,0.5038759689922481,10702,split
Sitting,0.8652071369975389,0.8695652173913043,0.8608490566037735,0.5755395683453237,0.9681697612732095,0.6926406926406926,0.6086733603930783,0.17829457364341086,0.15503875968992248,0.2693798449612403,10702,split
Supine,0.6358024691358024,0.2716049382716049,1,1,0.8805668016194332,0.4271844660194175,0.38601161665053196,0.1569767441860465,0.04263565891472868,0.04263565891472868,10702,split
Upright,0.9499614390055799,0.9361702127659575,0.9637526652452025,0.7213114754098361,0.9934065934065934,0.8148148148148149,0.7935752290274836,0.09108527131782945,0.08527131782945736,0.1182170542635659,10702,split
Held,0.9456457925636008,0.95,0.9412915851272016,0.5588235294117647,0.9958592132505176,0.7037037037037037,0.6738921358289562,0.07259528130671507,0.06896551724137931,0.12341197822141561,10703,split
Prone,0.9871382636655949,1,0.9742765273311897,0.967741935483871,1,0.9836065573770492,0.9705835246383,0.4355716878402904,0.4355716878402904,0.4500907441016334,10703,split
Sitting,0.950623901843414,0.9120879120879121,0.989159891598916,0.9764705882352941,0.958005249343832,0.9431818181818181,0.9165606638803078,0.33030852994555354,0.30127041742286753,0.308529945553539,10703,split
Supine,0.9005700871898055,0.8333333333333334,0.9678068410462777,0.7377049180327869,0.9816326530612245,0.782608695652174,0.7573841520333938,0.09800362976406533,0.08166969147005444,0.11070780399274047,10703,split
Upright,0.5266334440753045,0.05714285714285714,0.9961240310077519,0.5,0.9396709323583181,0.10256410256410256,0.09071620538450782,0.06352087114337568,0.003629764065335753,0.007259528130671506,10703,split
Held,0.8870967741935484,0.7741935483870968,1,1,0.9844097995545658,0.8727272727272727,0.8650059118522451,0.06553911205073996,0.0507399577167019,0.0507399577167019,10704,split
