Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.8608031427324312,0.7241379310344828,0.9974683544303797,0.9545454545454546,0.9800995024875622,0.823529411764706,0.8124631413406723,0.06839622641509434,0.049528301886792456,0.05188679245283019,9908,split
Prone,0.9905149051490515,1,0.981029810298103,0.8870967741935484,1,0.9401709401709402,0.9306347574086189,0.12971698113207547,0.12971698113207547,0.14622641509433962,9908,split
Sitting,0.9678443163785183,0.9487179487179487,0.9869706840390879,0.9652173913043478,0.9805825242718447,0.9568965517241379,0.9406644462481459,0.2759433962264151,0.2617924528301887,0.27122641509433965,9908,split
Supine,1,1,1,1,1,1,1,0.049528301886792456,0.049528301886792456,0.049528301886792456,9908,split
Upright,0.986040495941486,0.9900990099009901,0.9819819819819819,0.9803921568627451,0.990909090909091,0.9852216748768472,0.9716476462196862,0.47641509433962265,0.4716981132075472,0.4811320754716981,9908,split
Held,0.644268438085505,0.2982456140350877,0.9902912621359223,0.8095238095238095,0.9107142857142857,0.43589743589743585,0.3963963963963964,0.12153518123667377,0.03624733475479744,0.04477611940298507,9909,split
Prone,0.48558758314855877,0,0.9711751662971175,0,0.9605263157894737,NA,-0.03325989624049424,0.03837953091684435,0,0.02771855010660981,9909,split
Sitting,0.6831703136029041,0.40425531914893614,0.9620853080568721,0.5428571428571428,0.9354838709677419,0.46341463414634143,0.41321656050955446,0.10021321961620469,0.04051172707889126,0.07462686567164178,9909,split
Supine,0.7361605107159143,0.9529411764705882,0.5193798449612403,0.8393782383419689,0.8072289156626506,0.8925619834710743,0.5310841643807525,0.7249466950959488,0.6908315565031983,0.8230277185501066,9909,split
Upright,0.6298701298701299,0.2857142857142857,0.974025974025974,0.14285714285714285,0.989010989010989,0.19047619047619047,0.17403915881073195,0.014925373134328358,0.0042643923240938165,0.029850746268656716,9909,split
Held,0.7489517819706499,0.5,0.9979035639412998,0.9333333333333333,0.9714285714285714,0.6511627906976745,0.6371257485029942,0.055445544554455446,0.027722772277227723,0.0297029702970297,9910,split
