Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.6463116542994326,0.3103448275862069,0.9822784810126582,0.5625,0.9509803921568627,0.4,0.3693256941383879,0.06839622641509434,0.02122641509433962,0.03773584905660377,9908,split
Prone,0.9500862281350086,0.9272727272727272,0.9728997289972899,0.8360655737704918,0.9889807162534435,0.8793103448275862,0.8602439139238124,0.12971698113207547,0.12028301886792453,0.14386792452830188,9908,split
Sitting,0.8742169882235029,0.8461538461538461,0.9022801302931596,0.7674418604651163,0.9389830508474576,0.8048780487804877,0.7254108313769935,0.2759433962264151,0.23349056603773585,0.30424528301886794,9908,split
Supine,0.48635235732009924,0,0.9727047146401985,0,0.9491525423728814,NA,-0.035251030062568155,0.049528301886792456,0,0.025943396226415096,9908,split
Upright,0.9083712425296584,0.9158415841584159,0.9009009009009009,0.893719806763285,0.9216589861751152,0.9046454767726162,0.8158328507150174,0.47641509433962265,0.4363207547169811,0.4882075471698113,9908,split
Held,0.5516947709078521,0.12280701754385964,0.9805825242718447,0.4666666666666667,0.8898678414096917,0.19444444444444442,0.1514754507455236,0.12153518123667377,0.014925373134328358,0.031982942430703626,9909,split
Prone,0.49445676274944567,0,0.9889135254988913,0,0.9612068965517241,NA,-0.016969925520884395,0.03837953091684435,0,0.010660980810234541,9909,split
Sitting,0.5590652415044872,0.14893617021276595,0.9691943127962085,0.35,0.910913140311804,0.208955223880597,0.15861625427343132,0.10021321961620469,0.014925373134328358,0.042643923240938165,9909,split
Supine,0.6093251253989969,0.9705882352941176,0.24806201550387597,0.7728337236533958,0.7619047619047619,0.8604954367666231,0.27651629831466346,0.7249466950959488,0.7036247334754797,0.9104477611940298,9909,split
Upright,0.5703463203463204,0.14285714285714285,0.9978354978354979,0.5,0.987152034261242,0.22222222222222224,0.2170283806343925,0.014925373134328358,0.0021321961620469083,0.0042643923240938165,9909,split
Held,0.6071428571428571,0.21428571428571427,1,1,0.9559118236472945,0.35294117647058826,0.3400261375787108,0.055445544554455446,0.011881188118811881,0.011881188118811881,9910,split
Prone,0.5357142857142857,0.07142857142857142,1,1,0.9742063492063492,0.13333333333333333,0.13011792765337246,0.027722772277227723,0.0019801980198019802,0.0019801980198019802,9910,split
Sitting,0.8511256803562592,0.813953488372093,0.8882978723404256,0.7142857142857143,0.9329608938547486,0.7608695652173914,0.6714767283695073,0.25544554455445545,0.2079207920792079,0.29108910891089107,9910,split
Supine,0.9911894273127753,1,0.9823788546255506,0.9858156028368794,1,0.9928571428571429,0.9839692717922671,0.5504950495049505,0.5504950495049505,0.5584158415841585,9910,split
Upright,0.8248488705058861,0.7142857142857143,0.9354120267260579,0.5797101449275363,0.963302752293578,0.64,0.5897792299221976,0.11089108910891089,0.07920792079207921,0.13663366336633664,9910,split
Held,0.9343688776938147,0.8888888888888888,0.9798488664987406,0.8,0.989821882951654,0.8421052631578948,0.8269615025975754,0.08314087759815242,0.07390300230946882,0.09237875288683603,9911,split
Prone,0.8656593179753943,0.8484848484848485,0.8828337874659401,0.5656565656565656,0.9700598802395209,0.6787878787878787,0.6068828476968671,0.15242494226327943,0.12933025404157045,0.22863741339491916,9911,split
Sitting,0.8040546308151942,0.8262910798122066,0.7818181818181819,0.7857142857142857,0.8229665071770335,0.8054919908466819,0.6076100514941841,0.49191685912240185,0.4064665127020785,0.5173210161662818,9911,split
Supine,0.5163227594702803,0.058823529411764705,0.9738219895287958,0.23076923076923078,0.8857142857142857,0.09375,0.04820738270294891,0.11778290993071594,0.006928406466512702,0.03002309468822171,9911,split
Upright,0.7399681918277465,0.5373134328358209,0.9426229508196722,0.631578947368421,0.9175531914893617,0.5806451612903225,0.5110956703000824,0.15473441108545036,0.08314087759815242,0.13163972286374134,9911,split
Held,0.8842583732057416,0.7727272727272727,0.9957894736842106,0.8947368421052632,0.9895397489539749,0.8292682926829269,0.821964075533494,0.04426559356136821,0.03420523138832998,0.03822937625754527,10201,split
Prone,0.9759954193093728,0.9583333333333334,0.9936575052854123,0.8846153846153846,0.9978768577494692,0.9199999999999999,0.9157698500127103,0.0482897384305835,0.04627766599597585,0.052313883299798795,10201,split
Sitting,0.8817204301075269,1,0.7634408602150538,0.9483568075117371,1,0.9734939759036145,0.8399168399168397,0.8128772635814889,0.8128772635814889,0.8571428571428571,10201,split
Supine,0.5740740740740741,0.14814814814814814,1,1,0.9533468559837728,0.25806451612903225,0.24751497597261796,0.05432595573440644,0.008048289738430584,0.008048289738430584,10201,split
Upright,0.9197589098532495,0.85,0.989517819706499,0.7727272727272727,0.9936842105263158,0.8095238095238095,0.801140342102631,0.04024144869215292,0.03420523138832998,0.04426559356136821,10201,split
Held,0.5972222222222222,0.19444444444444445,1,1,0.9351230425055929,0.32558139534883723,0.3077084866968145,0.07929515418502203,0.015418502202643172,0.015418502202643172,10203,split
Prone,0.8915640970272799,0.7878787878787878,0.995249406175772,0.9285714285714286,0.9835680751173709,0.8524590163934426,0.8419097732724595,0.07268722466960352,0.05726872246696035,0.06167400881057269,10203,split
Sitting,0.9013573510141015,0.9959514170040485,0.8067632850241546,0.8601398601398601,0.9940476190476191,0.9230769230769231,0.815150251246301,0.5440528634361234,0.5418502202643172,0.6299559471365639,10203,split
Supine,0.6793593833067517,0.3611111111111111,0.9976076555023924,0.9285714285714286,0.9477272727272728,0.52,0.49769500276599654,0.07929515418502203,0.028634361233480177,0.030837004405286344,10203,split
Upright,0.9632074420677361,0.9803921568627451,0.9460227272727273,0.8403361344537815,0.9940298507462687,0.9049773755656109,0.8746482947224485,0.22466960352422907,0.22026431718061673,0.2621145374449339,10203,split
Held,0.9673114409956515,0.9629629629629629,0.97165991902834,0.7878787878787878,0.995850622406639,0.8666666666666665,0.850457088279438,0.09854014598540146,0.0948905109489051,0.12043795620437957,10204,split
Prone,0.7090600775193798,0.4375,0.9806201550387597,0.5833333333333334,0.9656488549618321,0.5,0.4736553238199783,0.058394160583941604,0.025547445255474453,0.043795620437956206,10204,split
Sitting,0.6154057017543859,0.32456140350877194,0.90625,0.7115384615384616,0.6531531531531531,0.44578313253012053,0.2503865826097299,0.41605839416058393,0.13503649635036497,0.1897810218978102,10204,split
Supine,0.8039357429718876,0.64,0.9678714859437751,0.6666666666666666,0.964,0.6530612244897959,0.6190086700474402,0.09124087591240876,0.058394160583941604,0.08759124087591241,10204,split
Upright,0.6933229813664596,0.8152173913043478,0.5714285714285714,0.49019607843137253,0.859504132231405,0.6122448979591837,0.33218738775719625,0.3357664233576642,0.2737226277372263,0.5583941605839416,10204,split
Held,0.9476735138499844,0.9852941176470589,0.91005291005291,0.8874172185430463,0.9885057471264368,0.9337979094076654,0.8817117790165319,0.41846153846153844,0.4123076923076923,0.4646153846153846,10301,split
Prone,1,1,1,1,1,1,1,0.024615384615384615,0.024615384615384615,0.024615384615384615,10301,split
Sitting,0.9802123552123552,0.9928571428571429,0.9675675675675676,0.9586206896551724,0.9944444444444445,0.9754385964912282,0.9562710235463721,0.4307692307692308,0.4276923076923077,0.4461538461538462,10301,split
Supine,0.8064516129032258,0.6129032258064516,1,1,0.9607843137254902,0.76,0.7412420382165605,0.09538461538461539,0.05846153846153846,0.05846153846153846,10301,split
Upright,0.49682539682539684,0,0.9936507936507937,0,0.9690402476780186,NA,-0.010362694300520245,0.03076923076923077,0,0.006153846153846154,10301,split
Held,0.9516129032258065,0.9032258064516129,1,1,0.9918256130790191,0.9491525423728813,0.945060039872039,0.07848101265822785,0.07088607594936709,0.07088607594936709,10401,split
Prone,0.9878048780487805,0.975609756097561,1,1,0.9971830985915493,0.9876543209876543,0.9862441232805154,0.10379746835443038,0.10126582278481013,0.10126582278481013,10401,split
Sitting,0.9890369173010741,0.9955156950672646,0.9825581395348837,0.9866666666666667,0.9941176470588236,0.9910714285714286,0.9793760605665056,0.5645569620253165,0.5620253164556962,0.569620253164557,10401,split
Supine,0.9798780935595213,0.9662921348314607,0.9934640522875817,0.9772727272727273,0.990228013029316,0.9717514124293786,0.9635951411033896,0.22531645569620254,0.21772151898734177,0.22278481012658227,10401,split
Upright,0.99609375,1,0.9921875,0.7857142857142857,1,0.88,0.8761367199749147,0.027848101265822784,0.027848101265822784,0.035443037974683546,10401,split
Held,0.9655172413793103,0.9310344827586207,1,1,0.9849624060150376,0.9642857142857143,0.9567216662158509,0.18125,0.16875,0.16875,10501,split
Prone,0.99,0.98,1,1,0.990990990990991,0.98989898989899,0.9853747714808044,0.3125,0.30625,0.30625,10501,split
Sitting,0.9655172413793103,1,0.9310344827586207,0.8461538461538461,1,0.9166666666666666,0.881305637982196,0.275,0.275,0.325,10501,split
Supine,0.8409090909090908,0.6818181818181818,1,1,0.9517241379310345,0.8108108108108109,0.7870722433460077,0.1375,0.09375,0.09375,10501,split
Upright,0.993103448275862,1,0.9862068965517241,0.8823529411764706,1,0.9375,0.9305856832971803,0.09375,0.09375,0.10625,10501,split
Held,0.9975083056478405,1,0.9950166112956811,0.896551724137931,1,0.9454545454545454,0.94296439815936,0.041401273885350316,0.041401273885350316,0.04617834394904458,10601,split
Prone,0.9982486865148862,1,0.9964973730297724,0.9661016949152542,1,0.9827586206896551,0.9810048092919149,0.09076433121019108,0.09076433121019108,0.09394904458598727,10601,split
Sitting,0.777613019891501,0.68,0.8752260397830018,0.425,0.952755905511811,0.5230769230769231,0.4408960367604825,0.11942675159235669,0.08121019108280254,0.1910828025477707,10601,split
Supine,0.8599071611119804,0.8463203463203464,0.8734939759036144,0.9490291262135923,0.6712962962962963,0.8947368421052633,0.6564714836131855,0.7356687898089171,0.6226114649681529,0.6560509554140127,10601,split
Upright,0.9366935483870968,0.875,0.9983870967741936,0.875,0.9983870967741936,0.875,0.8733870967741932,0.012738853503184714,0.011146496815286623,0.012738853503184714,10601,split
Held,0.5618481848184819,0.16,0.9636963696369637,0.26666666666666666,0.9329073482428115,0.2,0.1514955537590946,0.07621951219512195,0.012195121951219513,0.04573170731707317,10701,split
Prone,0.9336099585062241,1,0.8672199170124482,0.7310924369747899,1,0.8446601941747572,0.776023217105544,0.2652439024390244,0.2652439024390244,0.3628048780487805,10701,split
Sitting,0.718845083187674,0.45614035087719296,0.981549815498155,0.8387096774193549,0.8956228956228957,0.5909090909090909,0.5338333991314644,0.17378048780487804,0.07926829268292683,0.09451219512195122,10701,split
Supine,0.9249821475551546,0.9659863945578231,0.8839779005524862,0.8711656441717791,0.9696969696969697,0.9161290322580644,0.84136314595037,0.4481707317073171,0.4329268292682927,0.4969512195121951,10701,split
Upright,0.5,0,1,NA,0.9634146341463414,NA,0,0.036585365853658534,0,0,10701,split
Held,0.9135416666666667,0.8333333333333334,0.99375,0.9090909090909091,0.9875776397515528,0.8695652173913043,0.8602383531960995,0.06976744186046512,0.05813953488372093,0.06395348837209303,10702,split
Prone,1,1,1,1,1,1,1,0.5038759689922481,0.5038759689922481,0.5038759689922481,10702,split
Sitting,0.864181706316653,0.782608695652174,0.9457547169811321,0.7578947368421053,0.9524940617577197,0.7700534759358288,0.719181896420797,0.17829457364341086,0.13953488372093023,0.18410852713178294,10702,split
Supine,0.8426564495530013,0.7037037037037037,0.9816091954022989,0.8769230769230769,0.9467849223946785,0.7808219178082192,0.7452087769650959,0.1569767441860465,0.11046511627906977,0.12596899224806202,10702,split
Upright,0.959533638796897,0.9574468085106383,0.9616204690831557,0.7142857142857143,0.9955849889624724,0.8181818181818182,0.7970022424170898,0.09108527131782945,0.0872093023255814,0.12209302325581395,10702,split
Held,0.9554305283757338,0.95,0.9608610567514677,0.6551724137931034,0.9959432048681541,0.7755102040816326,0.754406580493537,0.07259528130671507,0.06896551724137931,0.10526315789473684,10703,split
Prone,0.9887459807073955,1,0.977491961414791,0.97165991902834,1,0.9856262833675565,0.9742483825954587,0.4355716878402904,0.4355716878402904,0.4482758620689655,10703,split
Sitting,0.9548378450817475,0.9340659340659341,0.975609756097561,0.94972067039106145,0.967741935483871,0.9418282548476454,0.9134910844454411,0.33030852994555354,0.308529945553539,0.3248638838475499,10703,split
Supine,0.876816454281243,0.7777777777777778,0.9758551307847082,0.7777777777777778,0.9758551307847082,0.7777777777777778,0.7536329085624859,0.09800362976406533,0.07622504537205081,0.09800362976406533,10703,split
Upright,0.6552048726467331,0.3142857142857143,0.9961240310077519,0.8461538461538461,0.9553903345724907,0.45833333333333337,0.43903203069934915,0.06352087114337568,0.019963702359346643,0.023593466424682397,10703,split
Held,0.8641804116187418,0.7419354838709677,0.9864253393665159,0.7931034482758621,0.9819819819819819,0.7666666666666667,0.750884056880596,0.06553911205073996,0.048625792811839326,0.0613107822410148,10704,split
Prone,1,1,1,1,1,1,1,0.4143763213530655,0.4143763213530655,0.4143763213530655,10704,split
Sitting,0.8592420344349891,0.7668711656441718,0.9516129032258065,0.8928571428571429,0.8858858858858859,0.8250825082508251,0.7433532284319043,0.34460887949260044,0.2642706131078224,0.2959830866807611,10704,split
