Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.6156263640331733,0.2413793103448276,0.9898734177215189,0.6363636363636364,0.9467312348668281,0.35,0.3245925744394058,0.06839622641509434,0.01650943396226415,0.025943396226415096,9908,split
Prone,0.9183542744518354,0.8909090909090909,0.94579945799458,0.7101449275362319,0.9830985915492958,0.7903225806451614,0.7549459831947717,0.12971698113207547,0.11556603773584906,0.16273584905660377,9908,split
Sitting,0.9149336006013531,0.8461538461538461,0.9837133550488599,0.9519230769230769,0.94375,0.8959276018099548,0.8594164456233423,0.2759433962264151,0.23349056603773585,0.24528301886792453,9908,split
Supine,0.9761904761904762,0.9523809523809523,1,1,0.9975247524752475,0.975609756097561,0.9743713733075432,0.049528301886792456,0.04716981132075472,0.04716981132075472,9908,split
Upright,0.9310944607974311,0.9702970297029703,0.8918918918918919,0.8909090909090909,0.9705882352941176,0.9289099526066351,0.8587420042643924,0.47641509433962265,0.46226415094339623,0.5188679245283019,9908,split
Held,0.5226750127746551,0.05263157894736842,0.9927184466019418,0.5,0.8833693304535637,0.09523809523809525,0.07379690260887638,0.12153518123667377,0.006396588486140725,0.01279317697228145,9909,split
Prone,0.4977827050997783,0,0.9955654101995566,0,0.961456102783726,NA,-0.007735281478300189,0.03837953091684435,0,0.0042643923240938165,9909,split
Sitting,0.7174296662297066,0.48936170212765956,0.9454976303317536,0.5,0.9432624113475178,0.4946236559139785,0.43900949278497425,0.10021321961620469,0.04904051172707889,0.09808102345415778,9909,split
Supine,0.711171910624715,0.9882352941176471,0.43410852713178294,0.8215158924205379,0.9333333333333333,0.897196261682243,0.5063900165388663,0.7249466950959488,0.7164179104477612,0.8720682302771855,9909,split
Upright,0.566017316017316,0.14285714285714285,0.9891774891774892,0.16666666666666666,0.9870410367170627,0.15384615384615383,0.1420256111757889,0.014925373134328358,0.0021321961620469083,0.01279317697228145,9909,split
Held,0.8718553459119497,0.75,0.9937106918238994,0.875,0.9854469854469855,0.8076923076923077,0.7973189918124899,0.055445544554455446,0.041584158415841586,0.047524752475247525,9910,split
Prone,0.5336776258364854,0.07142857142857142,0.9959266802443992,0.3333333333333333,0.9741035856573705,0.11764705882352941,0.10892836136925138,0.027722772277227723,0.0019801980198019802,0.005940594059405941,9910,split
Sitting,0.9135947550717467,0.9069767441860465,0.9202127659574468,0.7959183673469388,0.9664804469273743,0.8478260869565216,0.7909397362351411,0.25544554455445545,0.2316831683168317,0.29108910891089107,9910,split
Supine,1,1,1,1,1,1,1,0.5504950495049505,0.5504950495049505,0.5504950495049505,9910,split
Upright,0.8125397709195037,0.6607142857142857,0.9643652561247216,0.6981132075471698,0.9579646017699115,0.6788990825688073,0.6400863385530144,0.11089108910891089,0.07326732673267326,0.10495049504950495,9910,split
Held,0.8043310943184998,0.6388888888888888,0.9697732997481109,0.6571428571428571,0.9673366834170855,0.647887323943662,0.6164475782163484,0.08314087759815242,0.053117782909930716,0.08083140877598152,9911,split
Prone,0.9554743621501115,0.9545454545454546,0.9564032697547684,0.7974683544303798,0.9915254237288136,0.8689655172413794,0.8428672383826424,0.15242494226327943,0.14549653579676675,0.18244803695150116,9911,split
Sitting,0.8514511310285958,0.9483568075117371,0.7545454545454545,0.7890625,0.9378531073446328,0.8614072494669511,0.7006519820040203,0.49191685912240185,0.4665127020785219,0.5912240184757506,9911,split
Supine,0.615029257776409,0.23529411764705882,0.9947643979057592,0.8571428571428571,0.9069212410501193,0.36923076923076925,0.335516712205712,0.11778290993071594,0.02771362586605081,0.03233256351039261,9911,split
Upright,0.8126988010765843,0.6417910447761194,0.9836065573770492,0.8775510204081632,0.9375,0.7413793103448276,0.7024872887178786,0.15473441108545036,0.09930715935334873,0.11316397228637413,9911,split
Held,0.9545454545454546,0.9090909090909091,1,1,0.9958071278825996,0.9523809523809523,0.9502850855256587,0.04426559356136821,0.04024144869215292,0.04024144869215292,10201,split
Prone,0.9791666666666667,0.9583333333333334,1,1,0.9978902953586498,0.9787234042553191,0.9776679397888114,0.0482897384305835,0.04627766599597585,0.04627766599597585,10201,split
Sitting,0.978494623655914,1,0.956989247311828,0.9901960784313726,1,0.9950738916256158,0.9730987821380241,0.8128772635814889,0.8128772635814889,0.8209255533199196,10201,split
Supine,0.9444444444444444,0.8888888888888888,1,1,0.9936575052854123,0.9411764705882353,0.9380067356866654,0.05432595573440644,0.0482897384305835,0.0482897384305835,10201,split
Upright,0.9979035639412999,1,0.9958071278825996,0.9090909090909091,1,0.9523809523809523,0.9502850855256587,0.04024144869215292,0.04024144869215292,0.04426559356136821,10201,split
Held,0.6388888888888888,0.2777777777777778,1,1,0.9414414414414415,0.4347826086956522,0.41460027772267355,0.07929515418502203,0.022026431718061675,0.022026431718061675,10203,split
Prone,0.9067156121787951,0.8181818181818182,0.995249406175772,0.9310344827586207,0.9858823529411764,0.8709677419354839,0.861553708927346,0.07268722466960352,0.05947136563876652,0.06387665198237885,10203,split
Sitting,0.9573040740088795,0.9919028340080972,0.9227053140096618,0.9386973180076629,0.9896373056994818,0.9645669291338583,0.9196444374520638,0.5440528634361234,0.539647577092511,0.5748898678414097,10203,split
Supine,0.9849149388623073,0.9722222222222222,0.9976076555023924,0.9722222222222222,0.9976076555023924,0.9722222222222222,0.969829877724615,0.07929515418502203,0.07709251101321586,0.07929515418502203,10203,split
Upright,0.9772727272727273,1,0.9545454545454546,0.864406779661017,1,0.9272727272727274,0.904178978471929,0.22466960352422907,0.22466960352422907,0.2599118942731278,10203,split
Held,0.8481031638926375,0.7407407407407407,0.9554655870445344,0.6451612903225806,0.9711934156378601,0.689655172413793,0.6531157687438457,0.09854014598540146,0.072992700729927,0.11313868613138686,10204,split
Prone,0.9336240310077519,0.875,0.9922480620155039,0.875,0.9922480620155039,0.875,0.8672480620155042,0.058394160583941604,0.051094890510948905,0.058394160583941604,10204,split
Sitting,0.6447916666666667,0.3333333333333333,0.95625,0.8444444444444444,0.6681222707423581,0.47798742138364775,0.31718008767189104,0.41605839416058393,0.1386861313868613,0.16423357664233576,10204,split
Supine,0.9199999999999999,0.84,1,1,0.9841897233201581,0.9130434782608696,0.9051410766833992,0.09124087591240876,0.07664233576642336,0.07664233576642336,10204,split
Upright,0.7777114190157668,0.9565217391304348,0.5989010989010989,0.546583850931677,0.9646017699115044,0.6956521739130436,0.4685374578064385,0.3357664233576642,0.32116788321167883,0.5875912408759124,10204,split
Held,0.9841269841269842,1,0.9682539682539683,0.9577464788732394,1,0.9784172661870503,0.9623013571511424,0.41846153846153844,0.41846153846153844,0.4369230769230769,10301,split
Prone,0.9936908517350158,1,0.9873817034700315,0.6666666666666666,1,0.8,0.793912492073557,0.024615384615384615,0.024615384615384615,0.036923076923076927,10301,split
Sitting,1,1,1,1,1,1,1,0.4307692307692308,0.4307692307692308,0.4307692307692308,10301,split
Supine,0.9516129032258065,0.9032258064516129,1,1,0.98989898989899,0.9491525423728813,0.9440908308962668,0.09538461538461539,0.08615384615384615,0.08615384615384615,10301,split
Upright,0.65,0.3,1,1,0.9782608695652174,0.4615384615384615,0.4537815126050448,0.03076923076923077,0.009230769230769232,0.009230769230769232,10301,split
Held,1,1,1,1,1,1,1,0.07848101265822785,0.07848101265822785,0.07848101265822785,10401,split
Prone,0.975609756097561,0.9512195121951219,1,1,0.9943820224719101,0.975,0.9721850573903245,0.10379746835443038,0.09873417721518987,0.09873417721518987,10401,split
Sitting,0.9977578475336323,0.9955156950672646,1,1,0.9942196531791907,0.9977528089887641,0.9948542917811967,0.5645569620253165,0.5620253164556962,0.5620253164556962,10401,split
Supine,0.9950980392156863,1,0.9901960784313726,0.967391304347826,1,0.9834254143646408,0.9785010613400097,0.22531645569620254,0.22531645569620254,0.23291139240506328,10401,split
Upright,1,1,1,1,1,1,1,0.027848101265822784,0.027848101265822784,0.027848101265822784,10401,split
Held,1,1,1,1,1,1,1,0.18125,0.18125,0.18125,10501,split
Prone,1,1,1,1,1,1,1,0.3125,0.3125,0.3125,10501,split
Sitting,1,1,1,1,1,1,1,0.275,0.275,0.275,10501,split
