Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.8405499781754693,0.7241379310344828,0.9569620253164557,0.5526315789473685,0.9792746113989638,0.6268656716417911,0.5954816058617004,0.06839622641509434,0.049528301886792456,0.08962264150943396,9908,split
Prone,0.9305493964030549,0.8909090909090909,0.9701897018970189,0.8166666666666667,0.9835164835164835,0.8521739130434782,0.8290322580645162,0.12971698113207547,0.11556603773584906,0.14150943396226415,9908,split
Sitting,0.8742309084328628,0.7777777777777778,0.9706840390879479,0.91,0.9197530864197531,0.8387096774193549,0.7836986940298508,0.2759433962264151,0.21462264150943397,0.2358490566037736,9908,split
Supine,0.9900744416873449,1,0.9801488833746899,0.7241379310344828,1,0.8400000000000001,0.8302472225002503,0.049528301886792456,0.049528301886792456,0.06839622641509434,9908,split
Upright,0.9545312639372046,0.9405940594059405,0.9684684684684685,0.9644670050761421,0.947136563876652,0.9523809523809523,0.9100772424878333,0.47641509433962265,0.4481132075471698,0.46462264150943394,9908,split
Held,0.5480539942088231,0.12280701754385964,0.9733009708737864,0.3888888888888889,0.8891352549889135,0.18666666666666665,0.13627992633517488,0.12153518123667377,0.014925373134328358,0.03837953091684435,9909,split
Prone,0.48558758314855877,0,0.9711751662971175,0,0.9605263157894737,NA,-0.03325989624049424,0.03837953091684435,0,0.02771855010660981,9909,split
Sitting,0.7186397095895936,0.46808510638297873,0.9691943127962085,0.6285714285714286,0.9423963133640553,0.5365853658536586,0.4932324840764326,0.10021321961620469,0.046908315565031986,0.07462686567164178,9909,split
Supine,0.6876424988600092,0.9411764705882353,0.43410852713178294,0.8142493638676844,0.7368421052631579,0.8731241473396998,0.43011876608699046,0.7249466950959488,0.6823027718550106,0.837953091684435,9909,split
Upright,0.7067099567099567,0.42857142857142855,0.9848484848484849,0.3,0.9912854030501089,0.3529411764705882,0.3413762287756918,0.014925373134328358,0.006396588486140725,0.021321961620469083,9909,split
Held,0.7657607067984427,0.5357142857142857,0.9958071278825996,0.8823529411764706,0.9733606557377049,0.6666666666666667,0.6520920406007443,0.055445544554455446,0.0297029702970297,0.033663366336633666,9910,split
Prone,0.5346959557753855,0.07142857142857142,0.9979633401221996,0.5,0.974155069582505,0.125,0.11889332003988085,0.027722772277227723,0.0019801980198019802,0.0039603960396039604,9910,split
Sitting,0.9123783605475837,0.8992248062015504,0.925531914893617,0.8055555555555556,0.96398891966759,0.8498168498168499,0.7944158152373575,0.25544554455445545,0.2297029702970297,0.2851485148514851,9910,split
Supine,1,1,1,1,1,1,1,0.5504950495049505,0.5504950495049505,0.5504950495049505,9910,split
Upright,0.8103324848870506,0.6785714285714286,0.9420935412026726,0.59375,0.9591836734693877,0.6333333333333334,0.5841443329839793,0.11089108910891089,0.07524752475247524,0.12673267326732673,9910,split
Held,0.8118877693814721,0.6388888888888888,0.9848866498740554,0.7931034482758621,0.9678217821782178,0.7076923076923076,0.684269102352535,0.08314087759815242,0.053117782909930716,0.06697459584295612,9911,split
Prone,0.8907811080835604,0.8333333333333334,0.9482288828337875,0.7432432432432432,0.9693593314763231,0.7857142857142858,0.7445528199480846,0.15242494226327943,0.12702078521939955,0.17090069284064666,9911,split
Sitting,0.8406423388817755,0.8403755868544601,0.8409090909090909,0.8364485981308412,0.8447488584474886,0.8384074941451991,0.6812337960246246,0.49191685912240185,0.4133949191685912,0.4942263279445728,9911,split
Supine,0.7202032645518941,0.5294117647058824,0.9109947643979057,0.4426229508196721,0.9354838709677419,0.4821428571428572,0.4059232625254294,0.11778290993071594,0.06235565819861432,0.14087759815242495,9911,split
Upright,0.8133308865508523,0.6567164179104478,0.9699453551912568,0.8,0.9391534391534392,0.7213114754098361,0.6761263639563535,0.15473441108545036,0.10161662817551963,0.12702078521939955,9911,split
Held,0.8636363636363636,0.7272727272727273,1,1,0.9875259875259875,0.8421052631578948,0.8359916400835995,0.04426559356136821,0.03219315895372234,0.03219315895372234,10201,split
Prone,0.9332716701902748,0.875,0.9915433403805497,0.84,0.9936440677966102,0.8571428571428572,0.8497386947695764,0.0482897384305835,0.04225352112676056,0.05030181086519115,10201,split
Sitting,1,1,1,1,1,1,1,0.8128772635814889,0.8128772635814889,0.8128772635814889,10201,split
Supine,1,1,1,1,1,1,1,0.05432595573440644,0.05432595573440644,0.05432595573440644,10201,split
Upright,0.8905660377358491,0.8,0.9811320754716981,0.64,0.9915254237288136,0.7111111111111111,0.6975895155628357,0.04024144869215292,0.03219315895372234,0.05030181086519115,10201,split
Held,0.6099149388623073,0.2222222222222222,0.9976076555023924,0.8888888888888888,0.9370786516853933,0.3555555555555555,0.33444545546456383,0.07929515418502203,0.01762114537444934,0.019823788546255508,10203,split
Prone,0.9242424242424243,0.8484848484848485,1,1,0.9882629107981221,0.9180327868852458,0.912172096262478,0.07268722466960352,0.06167400881057269,0.06167400881057269,10203,split
Sitting,0.9697725361340922,0.9878542510121457,0.9516908212560387,0.9606299212598425,0.985,0.9740518962075848,0.942124772009649,0.5440528634361234,0.5374449339207048,0.5594713656387665,10203,split
Supine,0.9686337054758107,0.9444444444444444,0.992822966507177,0.918918918918919,0.9952038369304557,0.9315068493150684,0.9255200472471948,0.07929515418502203,0.07488986784140969,0.08149779735682819,10203,split
Upright,0.9659090909090908,1,0.9318181818181818,0.8095238095238095,1,0.8947368421052632,0.8599629858112274,0.22466960352422907,0.22466960352422907,0.2775330396475771,10203,split
Held,0.8457789773579247,0.7037037037037037,0.9878542510121457,0.8636363636363636,0.9682539682539683,0.7755102040816326,0.7537179277659747,0.09854014598540146,0.06934306569343066,0.08029197080291971,10204,split
Prone,0.6426841085271318,0.3125,0.9728682170542635,0.4166666666666667,0.9580152671755725,0.35714285714285715,0.3232711306256864,0.058394160583941604,0.01824817518248175,0.043795620437956206,10204,split
Sitting,0.9154605263157896,0.868421052631579,0.9625,0.9428571428571428,0.9112426035502958,0.904109589041096,0.8404591582099483,0.41605839416058393,0.3613138686131387,0.38321167883211676,10204,split
Supine,0.96,0.92,1,1,0.9920318725099602,0.9583333333333334,0.9543409431761367,0.09124087591240876,0.08394160583941605,0.08394160583941605,10204,split
Upright,0.8877806975633062,0.9239130434782609,0.8516483516483516,0.7589285714285714,0.9567901234567902,0.8333333333333331,0.7360009068238494,0.3357664233576642,0.3102189781021898,0.40875912408759124,10204,split
Held,0.9219382197323374,0.9338235294117647,0.91005291005291,0.8819444444444444,0.9502762430939227,0.9071428571428571,0.8369732983485106,0.41846153846153844,0.39076923076923076,0.4430769230769231,10301,split
Prone,0.9858044164037855,1,0.9716088328075709,0.47058823529411764,1,0.6399999999999999,0.627530879918502,0.024615384615384615,0.024615384615384615,0.052307692307692305,10301,split
Sitting,0.9964285714285714,0.9928571428571429,1,1,0.9946236559139785,0.996415770609319,0.9937204134866197,0.4307692307692308,0.4276923076923077,0.4276923076923077,10301,split
Supine,0.9032258064516129,0.8064516129032258,1,1,0.98,0.8928571428571428,0.8828828828828825,0.09538461538461539,0.07692307692307693,0.07692307692307693,10301,split
Upright,0.5,0,1,NA,0.9692307692307692,NA,0,0.03076923076923077,0,0,10301,split
Held,0.9313629918468629,0.8709677419354839,0.9917582417582418,0.9,0.989041095890411,0.8852459016393444,0.8756465032606253,0.07848101265822785,0.06835443037974684,0.0759493670886076,10401,split
Prone,1,1,1,1,1,1,1,0.10379746835443038,0.10379746835443038,0.10379746835443038,10401,split
Sitting,0.8116591928251121,0.6233183856502242,1,1,0.671875,0.7679558011049724,0.5903501407476912,0.5645569620253165,0.3518987341772152,0.3518987341772152,10401,split
Supine,0.8627450980392157,1,0.7254901960784313,0.5144508670520231,1,0.6793893129770993,0.5435787388577088,0.22531645569620254,0.22531645569620254,0.4379746835443038,10401,split
Upright,0.8584280303030303,0.7272727272727273,0.9895833333333334,0.6666666666666666,0.9921671018276762,0.6956521739130435,0.6865434757963944,0.027848101265822784,0.020253164556962026,0.030379746835443037,10401,split
Held,0.9330086864964464,0.896551724137931,0.9694656488549618,0.8666666666666667,0.9769230769230769,0.8813559322033899,0.8545454545454544,0.18125,0.1625,0.1875,10501,split
Prone,1,1,1,1,1,1,1,0.3125,0.3125,0.3125,10501,split
Sitting,0.9757053291536051,0.9772727272727273,0.9741379310344828,0.9347826086956522,0.9912280701754386,0.9555555555555557,0.9381761978361671,0.275,0.26875,0.2875,10501,split
Supine,1,1,1,1,1,1,1,0.1375,0.1375,0.1375,10501,split
Upright,0.9,0.8,1,1,0.9797297297297297,0.888888888888889,0.8787878787878785,0.09375,0.075,0.075,10501,split
Held,0.9807692307692308,0.9615384615384616,1,1,0.9983416252072969,0.9803921568627451,0.9795626139026302,0.041401273885350316,0.03980891719745223,0.03980891719745223,10601,split
Prone,0.999124343257443,1,0.9982486865148862,0.9827586206896551,1,0.9913043478260869,0.9904279965857825,0.09076433121019108,0.09076433121019108,0.09235668789808917,10601,split
Sitting,0.8639541892706449,0.7333333333333333,0.9945750452079566,0.9482758620689655,0.9649122807017544,0.8270676691729324,0.8069603335828079,0.11942675159235669,0.0875796178343949,0.09235668789808917,10601,split
Supine,0.9365122828978251,0.9935064935064936,0.8795180722891566,0.9582463465553236,0.9798657718120806,0.975557917109458,0.9026369715271787,0.7356687898089171,0.7308917197452229,0.7627388535031847,10601,split
Upright,1,1,1,1,1,1,1,0.012738853503184714,0.012738853503184714,0.012738853503184714,10601,split
Held,0.7651485148514852,0.56,0.9702970297029703,0.6086956521739131,0.9639344262295082,0.5833333333333334,0.5505002055639302,0.07621951219512195,0.042682926829268296,0.0701219512195122,10701,split
Prone,0.975103734439834,1,0.950207468879668,0.8787878787878788,1,0.9354838709677419,0.910100041112786,0.2652439024390244,0.2652439024390244,0.3018292682926829,10701,split
Sitting,0.9506052955266395,0.9122807017543859,0.988929889298893,0.9454545454545454,0.9816849816849816,0.9285714285714285,0.9138712006827282,0.17378048780487804,0.15853658536585366,0.1676829268292683,10701,split
Supine,0.9863945578231292,0.9727891156462585,1,1,0.9783783783783784,0.9862068965517241,0.9752816609518068,0.4481707317073171,0.43597560975609756,0.43597560975609756,10701,split
Upright,0.7900843881856541,0.5833333333333334,0.9968354430379747,0.875,0.984375,0.7000000000000001,0.6909547738693462,0.036585365853658534,0.021341463414634148,0.024390243902439025,10701,split
Held,0.6229166666666667,0.25,0.9958333333333333,0.8181818181818182,0.9465346534653465,0.38297872340425526,0.36214833759590914,0.06976744186046512,0.01744186046511628,0.02131782945736434,10702,split
Prone,1,1,1,1,1,1,1,0.5038759689922481,0.5038759689922481,0.5038759689922481,10702,split
Sitting,0.8757690730106644,0.8152173913043478,0.9363207547169812,0.7352941176470589,0.9589371980676329,0.7731958762886598,0.7208616110947184,0.17829457364341086,0.14534883720930233,0.19767441860465115,10702,split
Supine,0.9804597701149425,1,0.960919540229885,0.826530612244898,1,0.9050279329608939,0.885315343583307,0.1569767441860465,0.1569767441860465,0.18992248062015504,10702,split
Upright,0.8850882366284081,0.7872340425531915,0.9829424307036247,0.8222222222222222,0.9787685774946921,0.8043478260869565,0.7852088247537117,0.09108527131782945,0.07170542635658915,0.0872093023255814,10702,split
