Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.8729812309035356,0.7586206896551724,0.9873417721518988,0.8148148148148148,0.982367758186398,0.7857142857142857,0.7705834610875645,0.06839622641509434,0.05188679245283019,0.06367924528301887,9908,split
Prone,0.9827790096082779,0.9818181818181818,0.983739837398374,0.9,0.9972527472527473,0.9391304347826087,0.9296015180265657,0.12971698113207547,0.12735849056603774,0.14150943396226415,9908,split
Sitting,0.9613296583980623,0.9487179487179487,0.9739413680781759,0.9327731092436975,0.980327868852459,0.9406779661016949,0.9178044254894903,0.2759433962264151,0.2617924528301887,0.2806603773584906,9908,split
Supine,1,1,1,1,1,1,1,0.049528301886792456,0.049528301886792456,0.049528301886792456,9908,split
Upright,0.9687137632682187,0.9554455445544554,0.9819819819819819,0.9796954314720813,0.960352422907489,0.9674185463659148,0.9384739027548332,0.47641509433962265,0.455188679245283,0.46462264150943394,9908,split
Held,0.5429228410832907,0.10526315789473684,0.9805825242718447,0.42857142857142855,0.8879120879120879,0.16901408450704228,0.1271803930227424,0.12153518123667377,0.01279317697228145,0.029850746268656716,9909,split
Prone,0.4878048780487805,0,0.975609756097561,0,0.9606986899563319,NA,-0.029988640666412415,0.03837953091684435,0,0.023454157782515993,9909,split
Sitting,0.7399163053342744,0.5106382978723404,0.9691943127962085,0.6486486486486487,0.9467592592592593,0.5714285714285715,0.5299292833676702,0.10021321961620469,0.0511727078891258,0.07889125799573561,9909,split
Supine,0.7187870497036024,0.9647058823529412,0.4728682170542636,0.8282828282828283,0.8356164383561644,0.8913043478260869,0.5056913996627318,0.7249466950959488,0.6993603411513859,0.8443496801705757,9909,split
Upright,0.7056277056277056,0.42857142857142855,0.9826839826839827,0.2727272727272727,0.9912663755458515,0.33333333333333326,0.3209459459459469,0.014925373134328358,0.006396588486140725,0.023454157782515993,9909,split
Held,0.8014749925127284,0.6071428571428571,0.9958071278825996,0.8947368421052632,0.977366255144033,0.7234042553191489,0.7104230073662388,0.055445544554455446,0.033663366336633666,0.03762376237623762,9910,split
Prone,0.5714285714285714,0.14285714285714285,1,1,0.9761431411530815,0.25,0.24476570289132643,0.027722772277227723,0.0039603960396039604,0.0039603960396039604,9910,split
Sitting,0.9283358073560943,0.8992248062015504,0.9574468085106383,0.8787878787878788,0.9651474530831099,0.888888888888889,0.8501774954219479,0.25544554455445545,0.2297029702970297,0.2613861386138614,9910,split
Supine,1,1,1,1,1,1,1,0.5504950495049505,0.5504950495049505,0.5504950495049505,9910,split
Upright,0.9096603563474388,0.875,0.9443207126948775,0.6621621621621622,0.9837587006960556,0.7538461538461538,0.7182803946863774,0.11089108910891089,0.09702970297029703,0.14653465346534653,9910,split
Held,0.9545549958018471,0.9166666666666666,0.9924433249370277,0.9166666666666666,0.9924433249370277,0.9166666666666666,0.9091099916036949,0.08314087759815242,0.07621247113163972,0.08314087759815242,9911,split
Prone,0.9387953100487161,0.8939393939393939,0.9836512261580381,0.9076923076923077,0.9809782608695652,0.900763358778626,0.8830774982863552,0.15242494226327943,0.13625866050808313,0.15011547344110854,9911,split
Sitting,0.8524541186513017,0.8685446009389671,0.8363636363636363,0.8371040723981901,0.8679245283018868,0.8525345622119817,0.7044872888585567,0.49191685912240185,0.42725173210161665,0.5103926096997691,9911,split
Supine,0.719561646648188,0.5098039215686274,0.9293193717277487,0.49056603773584906,0.9342105263157895,0.5,0.4317872104174028,0.11778290993071594,0.06004618937644342,0.12240184757505773,9911,split
Upright,0.8710341733953184,0.7611940298507462,0.9808743169398907,0.8793103448275862,0.9573333333333334,0.8160000000000001,0.7851487498112312,0.15473441108545036,0.11778290993071594,0.13394919168591224,9911,split
Held,0.9090909090909092,0.8181818181818182,1,1,0.9916492693110647,0.9,0.8958507963118194,0.04426559356136821,0.03621730382293763,0.03621730382293763,10201,split
Prone,0.9989429175475687,1,0.9978858350951374,0.96,1,0.9795918367346939,0.9785340992527964,0.0482897384305835,0.0482897384305835,0.05030181086519115,10201,split
