Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.7325185508511567,0.4827586206896552,0.9822784810126582,0.6666666666666666,0.9627791563275434,0.56,0.5331798618756889,0.06839622641509434,0.0330188679245283,0.049528301886792456,9908,split
Prone,0.8162108893816211,0.7272727272727273,0.9051490514905149,0.5333333333333333,0.9570200573065902,0.6153846153846153,0.5476850864092172,0.12971698113207547,0.09433962264150944,0.17688679245283018,9908,split
Sitting,0.6631866143266795,0.42735042735042733,0.8990228013029316,0.6172839506172839,0.8046647230320699,0.505050505050505,0.3607187913474263,0.2759433962264151,0.1179245283018868,0.19103773584905662,9908,split
Supine,0.47294103745716654,0.047619047619047616,0.8982630272952854,0.023809523809523808,0.9476439790575916,0.031746031746031744,-0.03671637004970228,0.049528301886792456,0.0023584905660377358,0.09905660377358491,9908,split
Upright,0.9176032468111677,0.9207920792079208,0.9144144144144144,0.9073170731707317,0.9269406392694064,0.914004914004914,0.8346481258635291,0.47641509433962265,0.4386792452830189,0.4834905660377358,9908,split
Held,0.5631706693919264,0.15789473684210525,0.9684466019417476,0.4090909090909091,0.8926174496644296,0.2278481012658228,0.17178589005008282,0.12153518123667377,0.019189765458422176,0.046908315565031986,9909,split
Prone,0.5,0,1,NA,0.9616204690831557,NA,0,0.03837953091684435,0,0,9909,split
Sitting,0.5874256327518403,0.2127659574468085,0.9620853080568721,0.38461538461538464,0.9164785553047404,0.273972602739726,0.2181612304595353,0.10021321961620469,0.021321961620469083,0.05543710021321962,9909,split
Supine,0.6281691746466028,0.961764705882353,0.29457364341085274,0.7822966507177034,0.7450980392156863,0.8627968337730871,0.3155398389043249,0.7249466950959488,0.697228144989339,0.8912579957356077,9909,split
Upright,0.7142857142857143,0.42857142857142855,1,1,0.9914163090128756,0.6,0.5963855421686777,0.014925373134328358,0.006396588486140725,0.006396588486140725,9909,split
