Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,0.5798777826276735,0.1724137931034483,0.9873417721518988,0.5,0.9420289855072463,0.25641025641025644,0.22938079719227983,0.06839622641509434,0.01179245283018868,0.02358490566037736,9908,split
Prone,0.97289972899729,1,0.94579945799458,0.7333333333333333,1,0.846153846153846,0.8190740345636865,0.12971698113207547,0.12971698113207547,0.17688679245283018,9908,split
Sitting,0.9432194660207689,0.905982905982906,0.9804560260586319,0.9464285714285714,0.9647435897435898,0.9257641921397379,0.8983184742128427,0.2759433962264151,0.25,0.2641509433962264,9908,split
Supine,0.9761904761904762,0.9523809523809523,1,1,0.9975247524752475,0.975609756097561,0.9743713733075432,0.049528301886792456,0.04716981132075472,0.04716981132075472,9908,split
Upright,0.9225537418606726,0.9306930693069307,0.9144144144144144,0.9082125603864735,0.9354838709677419,0.919315403422983,0.8441662582973226,0.47641509433962265,0.44339622641509435,0.4882075471698113,9908,split
Held,0.6530403679100665,0.3157894736842105,0.9902912621359223,0.8181818181818182,0.912751677852349,0.4556962025316456,0.4161769388877632,0.12153518123667377,0.03837953091684435,0.046908315565031986,9909,split
Prone,0.4866962305986696,0,0.9733924611973392,0,0.9606126914660832,NA,-0.03167619885613805,0.03837953091684435,0,0.0255863539445629,9909,split
Sitting,0.7256730866189371,0.5319148936170213,0.919431279620853,0.423728813559322,0.9463414634146341,0.4716981132075472,0.4053613475819598,0.10021321961620469,0.053304904051172705,0.1257995735607676,9909,split
Supine,0.7417692658458732,0.9176470588235294,0.5658914728682171,0.8478260869565217,0.7227722772277227,0.8813559322033897,0.5184569500806729,0.7249466950959488,0.6652452025586354,0.7846481876332623,9909,split
Upright,0.8538961038961039,0.7142857142857143,0.9935064935064936,0.625,0.9956616052060737,0.6666666666666666,0.6612740141557129,0.014925373134328358,0.010660980810234541,0.017057569296375266,9909,split
Held,0.75,0.5,1,1,0.9714867617107943,0.6666666666666666,0.6538725154215217,0.055445544554455446,0.027722772277227723,0.027722772277227723,9910,split
Prone,0.4969450101832994,0,0.9938900203665988,0,0.9721115537848606,NA,-0.009881190448181768,0.027722772277227723,0,0.005940594059405941,9910,split
Sitting,0.8866897575457695,0.8372093023255814,0.9361702127659575,0.8181818181818182,0.9436997319034852,0.8275862068965518,0.7675168032409536,0.25544554455445545,0.21386138613861386,0.2613861386138614,9910,split
Supine,1,1,1,1,1,1,1,0.5504950495049505,0.5504950495049505,0.5504950495049505,9910,split
Upright,0.8851216990136812,0.8392857142857143,0.9309576837416481,0.6025641025641025,0.9789227166276346,0.7014925373134329,0.6572436963382766,0.11089108910891089,0.09306930693069307,0.15445544554455445,9910,split
Held,0.6856283235376435,0.3888888888888889,0.982367758186398,0.6666666666666666,0.9466019417475728,0.49122807017543857,0.45802581035003653,0.08314087759815242,0.03233256351039261,0.04849884526558892,9911,split
Prone,0.8957972091487079,0.8787878787878788,0.9128065395095368,0.6444444444444445,0.9766763848396501,0.7435897435897436,0.6888697276711935,0.15242494226327943,0.13394919168591224,0.20785219399538107,9911,split
Sitting,0.8284997865983782,0.9342723004694836,0.7227272727272728,0.7653846153846153,0.9190751445086706,0.8414376321353066,0.6547012727408054,0.49191685912240185,0.45958429561200925,0.6004618937644342,9911,split
Supine,0.6163381582999692,0.23529411764705882,0.9973821989528796,0.9230769230769231,0.9071428571428571,0.375,0.34359129841582686,0.11778290993071594,0.02771362586605081,0.03002309468822171,9911,split
Upright,0.7067531196476633,0.4626865671641791,0.9508196721311475,0.6326530612244898,0.90625,0.5344827586206897,0.46447711969218114,0.15473441108545036,0.07159353348729793,0.11316397228637413,9911,split
Held,0.9545454545454546,0.9090909090909091,1,1,0.9958071278825996,0.9523809523809523,0.9502850855256587,0.04426559356136821,0.04024144869215292,0.04024144869215292,10201,split
Prone,0.9770525017618041,0.9583333333333334,0.9957716701902748,0.92,0.9978813559322034,0.9387755102040817,0.9356022977583893,0.0482897384305835,0.04627766599597585,0.05030181086519115,10201,split
Sitting,0.978494623655914,1,0.956989247311828,0.9901960784313726,1,0.9950738916256158,0.9730987821380241,0.8128772635814889,0.8128772635814889,0.8209255533199196,10201,split
Supine,0.924862096138692,0.8518518518518519,0.997872340425532,0.9583333333333334,0.9915433403805497,0.9019607843137256,0.896677892811109,0.05432595573440644,0.04627766599597585,0.0482897384305835,10201,split
Upright,0.9479035639412998,0.9,0.9958071278825996,0.9,0.9958071278825996,0.9,0.8958071278826001,0.04024144869215292,0.03621730382293763,0.04024144869215292,10201,split
Held,0.6238038277511961,0.25,0.9976076555023924,0.9,0.9391891891891891,0.391304347826087,0.3695695298551877,0.07929515418502203,0.019823788546255508,0.022026431718061675,10203,split
Prone,0.9206794788742532,0.8484848484848485,0.9928741092636579,0.9032258064516129,0.9881796690307328,0.875,0.8655312847093675,0.07268722466960352,0.06167400881057269,0.06828193832599119,10203,split
Sitting,0.9665747423184494,0.9959514170040485,0.9371980676328503,0.9498069498069498,0.9948717948717949,0.9723320158102767,0.9375503546935486,0.5440528634361234,0.5418502202643172,0.5704845814977973,10203,split
Supine,0.9849149388623073,0.9722222222222222,0.9976076555023924,0.9722222222222222,0.9976076555023924,0.9722222222222222,0.969829877724615,0.07929515418502203,0.07709251101321586,0.07929515418502203,10203,split
Upright,0.9646278966131907,0.9803921568627451,0.9488636363636364,0.847457627118644,0.9940476190476191,0.909090909090909,0.8802237230899116,0.22466960352422907,0.22026431718061673,0.2599118942731278,10203,split
Held,0.8376818113660218,0.7037037037037037,0.97165991902834,0.7307692307692307,0.967741935483871,0.71698113207547165,0.686690044214057,0.09854014598540146,0.06934306569343066,0.0948905109489051,10204,split
Prone,0.8594961240310077,0.75,0.9689922480620154,0.6,0.984251968503937,0.6666666666666665,0.6435385949696453,0.058394160583941604,0.043795620437956206,0.072992700729927,10204,split
Sitting,0.7205592105263158,0.4473684210526316,0.99375,0.9807692307692307,0.7162162162162162,0.6144578313253012,0.4785297965980732,0.41605839416058393,0.18613138686131386,0.1897810218978102,10204,split
Supine,0.9199999999999999,0.84,1,1,0.9841897233201581,0.9130434782608696,0.9051410766833992,0.09124087591240876,0.07664233576642336,0.07664233576642336,10204,split
Upright,0.8187410415671286,0.9891304347826086,0.6483516483516484,0.5870967741935483,0.9915966386554622,0.7368421052631577,0.5451759538280809,0.3357664233576642,0.33211678832116787,0.5656934306569343,10204,split
Held,0.9841269841269842,1,0.9682539682539683,0.9577464788732394,1,0.9784172661870503,0.9623013571511424,0.41846153846153844,0.41846153846153844,0.4369230769230769,10301,split
Prone,1,1,1,1,1,1,1,0.024615384615384615,0.024615384615384615,0.024615384615384615,10301,split
Sitting,0.9972972972972973,1,0.9945945945945946,0.9929078014184397,1,0.9964412811387899,0.9937313144951296,0.4307692307692308,0.4307692307692308,0.4338461538461538,10301,split
Supine,0.9193548387096775,0.8387096774193549,1,1,0.9832775919732442,0.9122807017543859,0.9039200614911603,0.09538461538461539,0.08,0.08,10301,split
Upright,0.9,0.8,1,1,0.9936908517350158,0.888888888888889,0.8857644991212648,0.03076923076923077,0.024615384615384615,0.024615384615384615,10301,split
Held,0.9166075859624248,0.8387096774193549,0.9945054945054945,0.9285714285714286,0.9863760217983651,0.8813559322033899,0.8718067597014235,0.07848101265822785,0.06582278481012659,0.07088607594936709,10401,split
Prone,0.975609756097561,0.9512195121951219,1,1,0.9943820224719101,0.975,0.9721850573903245,0.10379746835443038,0.09873417721518987,0.09873417721518987,10401,split
Sitting,0.9803159870685161,0.9955156950672646,0.9651162790697675,0.9736842105263158,0.9940119760479041,0.9844789356984479,0.9638358816066548,0.5645569620253165,0.5620253164556962,0.5772151898734177,10401,split
Supine,0.9670081515752369,0.9438202247191011,0.9901960784313726,0.9655172413793104,0.9837662337662337,0.9545454545454545,0.9415183032905208,0.22531645569620254,0.21265822784810126,0.22025316455696203,10401,split
