id,.metric,.estimator,.estimate,.config
Resample01,accuracy,multiclass,0.9460708782742681,Preprocessor1_Model1
Resample01,kap,multiclass,0.9135846031083293,Preprocessor1_Model1
Resample01,bal_accuracy,macro,0.9565400542216945,Preprocessor1_Model1
Resample01,f_meas,macro,0.9418499919663458,Preprocessor1_Model1
Resample01,ppv,macro,0.9575142618194941,Preprocessor1_Model1
Resample01,sens,macro,0.9333360128161312,Preprocessor1_Model1
Resample01,spec,macro,0.9797440956272581,Preprocessor1_Model1
Resample02,accuracy,multiclass,0.7861538461538462,Preprocessor1_Model1
Resample02,kap,multiclass,0.7027936085000699,Preprocessor1_Model1
Resample02,bal_accuracy,macro,0.8742174593085591,Preprocessor1_Model1
Resample02,f_meas,macro,0.7501198261093508,Preprocessor1_Model1
Resample02,ppv,macro,0.763646828589189,Preprocessor1_Model1
Resample02,sens,macro,0.8061800537115277,Preprocessor1_Model1
Resample02,spec,macro,0.9422548649055906,Preprocessor1_Model1
Resample03,accuracy,multiclass,0.8476658476658476,Preprocessor1_Model1
Resample03,kap,multiclass,0.778429982285111,Preprocessor1_Model1
Resample03,bal_accuracy,macro,0.9172652963319967,Preprocessor1_Model1
Resample03,f_meas,macro,0.8640771277599923,Preprocessor1_Model1
Resample03,ppv,macro,0.8510660544797871,Preprocessor1_Model1
Resample03,sens,macro,0.8793299432543262,Preprocessor1_Model1
Resample03,spec,macro,0.9552006494096671,Preprocessor1_Model1
Resample04,accuracy,multiclass,0.7795889440113395,Preprocessor1_Model1
Resample04,kap,multiclass,0.5659822741717415,Preprocessor1_Model1
Resample04,bal_accuracy,macro,0.7720275721309222,Preprocessor1_Model1
Resample04,f_meas,macro,0.5630860699772128,Preprocessor1_Model1
Resample04,ppv,macro,0.5502426287873805,Preprocessor1_Model1
Resample04,sens,macro,0.6081250675638119,Preprocessor1_Model1
Resample04,spec,macro,0.9359300766980325,Preprocessor1_Model1
Resample05,accuracy,multiclass,0.4225130890052356,Preprocessor1_Model1
Resample05,kap,multiclass,0.2602919324620022,Preprocessor1_Model1
Resample05,bal_accuracy,macro,0.8359164205514389,Preprocessor1_Model1
Resample05,f_meas,macro,0.6586430048378029,Preprocessor1_Model1
Resample05,ppv,macro,0.7209071560639617,Preprocessor1_Model1
Resample05,sens,macro,0.802174157159993,Preprocessor1_Model1
Resample05,spec,macro,0.8696586839428849,Preprocessor1_Model1
Resample06,accuracy,multiclass,0.8937875751503006,Preprocessor1_Model1
Resample06,kap,multiclass,0.8401155892892498,Preprocessor1_Model1
Resample06,bal_accuracy,macro,0.9531813951835155,Preprocessor1_Model1
Resample06,f_meas,macro,0.8104961635364818,Preprocessor1_Model1
Resample06,ppv,macro,0.7656381059969388,Preprocessor1_Model1
Resample06,sens,macro,0.9328247961715704,Preprocessor1_Model1
Resample06,spec,macro,0.9735379941954606,Preprocessor1_Model1
Resample07,accuracy,multiclass,0.9288537549407114,Preprocessor1_Model1
Resample07,kap,multiclass,0.8876554174067496,Preprocessor1_Model1
Resample07,bal_accuracy,macro,NA,Preprocessor1_Model1
Resample07,f_meas,macro,0.9188074912053862,Preprocessor1_Model1
Resample07,ppv,macro,NA,Preprocessor1_Model1
Resample07,sens,macro,0.9187127918413832,Preprocessor1_Model1
Resample07,spec,macro,0.9773769681915025,Preprocessor1_Model1
Resample08,accuracy,multiclass,0.9894459102902374,Preprocessor1_Model1
