names,left_ankle_only,right_ankle_only,left_hip_only,right_hip_only,left_side,right_side,ankles,hips
code,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
laacc_x_M,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_x_SD,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_x_MED,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_x_SKEW,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_x_KURT,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_x_P25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_x_P75,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_y_M,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_y_SD,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_y_MED,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_y_SKEW,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_y_KURT,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_y_P25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_y_P75,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_z_M,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_z_SD,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_z_MED,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_z_SKEW,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_z_KURT,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_z_P25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
laacc_z_P75,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
raacc_x_M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_x_SD,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_x_MED,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_x_SKEW,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_x_KURT,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_x_P25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_x_P75,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_y_M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_y_SD,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_y_MED,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_y_P25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_y_P75,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_z_M,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_z_SD,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_z_MED,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_z_SKEW,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_z_KURT,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_z_P25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
raacc_z_P75,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
lhacc_x_M,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
lhacc_x_SD,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
lhacc_x_MED,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
lhacc_x_SKEW,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
lhacc_x_KURT,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
lhacc_x_P25,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
lhacc_x_P75,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
lhacc_y_M,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
